No.,N,n1,n2,df,t.value,t.type,p.value,Cohens.d
T-test 1,26,26,26,25,5.34,0,1.55E-05,1.04726016
T-test 2,26,26,26,25,2.13,0,0.043195424,0.41772737
T-test 3,1771,1771,NA,1770,12.14,0,1.24E-32,0.28847581
T-test 4,1678,839,839,1676,7.81,1,1.00E-14,0.58
T-test 5,230,115,115,228,12.89,1,6.83E-29,1.04
T-test 6,1734,867,867,1732,3.92,1,9.20E-05,0.29
T-test 7,1754,877,877,1752,2.22,1,0.026546405,0.18
T-test 8,234,117,117,232,6.42,1,7.66E-10,0.51
T-test 9,1778,889,889,1776,1.98,1,0.047857664,0.51
T-test 10,232,116,116,230,4.2,1,3.82E-05,0.33
T-test 11,1778,889,889,1775,3.46,1,0.00055295,0.26
T-test 12,1772,886,886,1770,3,1,0.002737493,0.23
T-test 13,81,81,NA,80,3.22,0,0.001853424,0.35777778
T-test 14,81,81,NA,80,2.29,0,0.024655756,0.25444444
T-test 15,40,20,20,38,3.21,1,0.002698938,1.01509113
T-test 16,40,20,20,38,5.522,1,2.58E-06,1.74620972
T-test 17,40,20,20,38,0.56,1,0.578765975,0.17708755
T-test 18,40,20,20,38,3.688,1,0.00070407,1.166248
T-test 19,40,20,20,38,0.94,1,0.353154786,0.2972541
T-test 20,40,20,20,38,0.559,1,0.579441442,0.17677132
T-test 21,40,20,20,38,0.892,1,0.378006754,0.28207517
T-test 22,40,20,20,38,4.932,1,1.64E-05,1.55963534
T-test 23,40,20,20,38,0.76,1,0.45194426,0.2403331
T-test 24,40,20,20,38,1.309,1,0.198395264,0.41394215
T-test 25,40,20,20,38,3.395,1,0.001619007,1.07359327
T-test 26,40,20,20,38,0.188,1,0.851876999,0.05945082
T-test 27,56,28,28,54,0.761,1,0.449967542,0.20338581
T-test 28,56,28,28,54,0.84,1,0.404612201,0.22449944
T-test 29,56,28,28,54,1.447,1,0.153677367,0.38672702
T-test 30,56,28,28,54,1.135,1,0.261388259,0.30334151
T-test 31,47,25,22,45,1.852,1,0.070592995,0.54138793
T-test 32,47,25,22,45,0.081,1,0.93580114,0.02367841
T-test 33,47,25,22,45,0.088,1,0.930267131,0.0257247
T-test 34,47,25,22,45,2.369,1,0.02218824,0.69252052
T-test 35,47,25,22,45,3.34,1,0.001691125,0.97636916
T-test 36,47,25,22,45,2.345,1,0.023497433,0.68550469
T-test 37,47,25,22,45,2.344,1,0.023553457,0.68521237
T-test 38,30,30,NA,29,4.72,0,5.52E-05,0.86175016
T-test 39,30,30,NA,29,5.38,0,8.83E-06,0.98224912
T-test 40,30,30,NA,29,4.15,0,0.00026584,0.75768287
T-test 41,30,30,NA,29,5.07,0,2.09E-05,0.92565112
T-test 42,102,102,NA,101,5.4489,0,3.59E-07,0.53951685
T-test 43,96,96,NA,95,8.0194,0,3.00E-12,0.81847164
T-test 44,95,95,NA,94,2.958,0,0.003916066,0.30348849
T-test 45,95,95,NA,94,3.5567,0,0.000590425,0.36490806
T-test 46,86,86,NA,85,2.5573,0,0.012322388,0.27576532
T-test 47,42,42,NA,41,1.45,0,0.154665762,0.22373986
T-test 48,12,12,NA,11,3.03,0,0.011449313,0.87468566
T-test 49,12,12,NA,11,2.73,0,0.019578342,0.78808312
T-test 50,12,12,NA,11,0.42,0,0.682572037,0.12124356
T-test 51,14,14,NA,13,3.45,0,0.004308119,0.92205128
T-test 52,14,14,NA,13,3.02,0,0.009852528,0.80712895
T-test 53,14,14,NA,13,0.76,0,0.460816008,0.20311854
T-test 54,12,12,NA,11,2.78,0,0.017903912,0.80251687
T-test 55,12,12,NA,11,2.75,0,0.018890656,0.79385662
T-test 56,12,12,NA,11,0.99,0,0.343451404,0.28578838
T-test 57,25,25,NA,24,3.663,0,0.001228767,0.7326
T-test 58,25,25,NA,24,2.22,0,0.036117713,0.444
T-test 59,37,25,12,35,1.96,1,0.057995867,0.68832938
T-test 60,64,33,31,62,3.92,1,0.000223823,0.98047887
T-test 61,64,33,31,62,5.39,1,1.16E-06,1.34815844
T-test 62,64,33,31,62,6.13,1,6.70E-08,1.53324884
T-test 63,64,33,31,62,3.92,1,0.000223823,0.98047887
T-test 64,33,33,NA,32,7.28,0,2.84E-08,1.26728534
T-test 65,33,33,NA,32,4.4,0,0.000112491,0.76594169
T-test 66,33,33,NA,32,2.05,0,0.048632886,0.35685919
T-test 67,31,31,NA,30,7.7,0,1.37E-08,1.38296083
T-test 68,31,31,NA,30,9.17,0,3.31E-10,1.64698062
T-test 69,31,31,NA,30,1.27,0,0.213847155,0.22809873
T-test 70,33,33,NA,32,1.8,0,0.081295211,0.31333978
T-test 71,33,33,NA,32,3.49,0,0.001430877,0.60753102
T-test 72,33,33,NA,32,1.76,0,0.087965164,0.30637667
T-test 73,31,31,NA,30,5.12,0,1.66E-05,0.91957915
T-test 74,31,31,NA,30,3.94,0,0.000450181,0.70764489
T-test 75,31,31,NA,30,2.05,0,0.049192831,0.36819087
T-test 76,241,112,129,238,1.4,1,0.162815508,0.18081427
T-test 77,60,30,30,58,29.75,1,8.12E-37,7.68141697
T-test 78,60,30,30,44.3,12.96,1,8.97E-19,3.346257611
T-test 79,60,30,30,58,0.773,1,0.442661317,0.19958774
T-test 80,60,30,30,58,6.62,1,1.27E-08,1.70927665
T-test 81,60,30,30,58,12.49,1,4.38E-18,3.22490413
T-test 82,60,30,30,58,10.71,1,2.30E-15,2.76531011
T-test 83,60,30,30,58,9.15,1,1.00E-12,2.36251984
T-test 84,60,30,30,58,6.01,1,1.31E-07,1.55177533
T-test 85,60,30,30,58,12.71,1,2.08E-18,3.28170789
T-test 86,60,30,30,58,0.36,1,0.720154747,0.0929516
T-test 87,60,30,30,58,12.4,1,5.96E-18,3.20166623
T-test 88,60,30,30,58,2.6,1,0.011805552,0.67131711
T-test 89,60,30,30,58,1.56,1,0.124200222,0.40279027
T-test 90,60,30,30,58,5.8,1,2.91E-07,1.49755356
T-test 91,60,30,30,58,3.99,1,0.000187825,1.03021357
T-test 92,60,30,30,58,2.47,1,0.016474404,0.63775126
T-test 93,60,30,30,58,10.96,1,9.31E-16,2.82985983
T-test 94,60,30,30,58,0.46,1,0.647236045,0.11877149
T-test 95,60,30,30,58,3.83,1,0.000317002,0.98890175
T-test 96,60,30,30,58,2.65,1,0.010356708,0.68422706
T-test 97,60,30,30,58,0.31,1,0.757672094,0.08004166
T-test 98,60,30,30,58,1.47,1,0.146965862,0.37955237
T-test 99,60,30,30,58,1.86,1,0.067958855,0.48024993
T-test 100,60,30,30,58,0.27,1,0.78811863,0.0697137
T-test 101,60,30,30,58,2.66,1,0.010087183,0.68680905
T-test 102,60,30,30,58,1.35,1,0.1822611,0.3485685
T-test 103,60,30,30,58,1.033,1,0.305892111,0.26671945
T-test 104,160,80,80,158,0.5123,1,0.609156449,0.08100174
T-test 105,160,80,80,158,0.412,1,0.680897834,0.06514292
T-test 106,160,80,80,158,0.89,1,0.374819021,0.14072136
T-test 107,160,80,80,158,0.75,1,0.454370046,0.11858541
T-test 108,160,80,80,158,0.49,1,0.624813595,0.0774758
T-test 109,160,80,80,158,0.93,1,0.353789806,0.14704591
T-test 110,160,80,80,158,0.91,1,0.364208633,0.14388363
T-test 111,160,80,80,158,0.84,1,0.402177666,0.13281566
T-test 112,160,80,80,158,0.57,1,0.569487302,0.09012491
T-test 113,160,80,80,158,0.96,1,0.338521995,0.15178933
T-test 114,160,80,80,158,0.85,1,0.396611271,0.1343968
T-test 115,160,80,80,158,0.89,1,0.374819021,0.14072136
T-test 116,160,80,80,158,1.03,1,0.304584148,0.1628573
T-test 117,160,80,80,158,0.76,1,0.448387122,0.12016655
T-test 118,160,80,80,158,1.01,1,0.314039521,0.15969502
T-test 119,160,80,80,158,0.99,1,0.323687804,0.15653274
T-test 120,160,80,80,158,0.89,1,0.374819021,0.14072136
T-test 121,160,80,80,158,0.93,1,0.353789806,0.14704591
T-test 122,160,80,80,158,0.99,1,0.323687804,0.15653274
T-test 123,160,80,80,158,0.78,1,0.436557768,0.12332883
T-test 124,35,18,17,33,4.586,1,6.21E-05,1.55098415
